index,"areas","lat","lon"
1,"Abhayapuri",26.4,90.63
2,"Abohar",30.17,74.17
3,"Abu",24.68,72.83
4,"Achalpur",21.37,77.53
5,"Acher",23.17,72.53
6,"Adhoi",23.43,70.53
7,"Adilabad",19.55,78.33
8,"Adoni",15.55,77.3
9,"Adra",23.5,86.7
10,"Agar",23.67,76.03
11,"Agartala",23.83,91.38
12,"Agori",24.55,82.95
13,"Agra",27.28,77.97
14,"Ahiri",19.5,80
15,"Ahemadabad",23,72.67
16,"Ahmadnagar",19.12,74.77
17,"Ahmedabad/Ahmadabd",23,72.67
18,"Ahmednagar/Ahmednagar",19.12,74.77
19,"Ai",26.43,90.73
20,"Ait",25.9,79.23
21,"Aizawl",23.67,92.73
22,"Ajaigarh",24.87,80.27
23,"Ajanta Ra.,",20.47,75.83
24,"Ajmer",26.47,74.62
25,"Ajnala",31.83,74.8
26,"Akbarpur, Bihar",24.65,83.97
27,"Akbarpur, Uttar Pradesh",26.42,82.53
28,"Akhnur",32.87,74.75
29,"Aklera",24.43,76.53
30,"Akola",20.7,77.03
31,"Alaknanda",30.13,78.6
32,"Alappuzha/Alleppey",9.5,76.47
33,"Aliganj",27.5,79.17
34,"Aligarh, Rajasthan.,",25.92,76.25
35,"Aligarh, Uttar Pradesh.,",27.92,78.17
36,"Alipur Duar",26.5,89.58
37,"Allahabad",25.42,81.97
38,"Alleppey",9.5,76.47
39,"Almora",29.63,79.67
40,"A lot",23.93,75.67
41,"Alwar",27.63,76.57
42,"Amalner",21.08,75.08
43,"Amanat",24.12,84.07
44,"Amarkantak",22.67,81.75
45,"Amarpur",25.08,87
46,"Amarwara",22.3,79.17
47,"Ambah",26.72,78.22
48,"Ambala",30.38,76.93
49,"Ambikapur",23.25,83.25
50,"Amdhi",23.85,81.45
51,"Amet",25.3,73.93
52,"Amla",21.93,78.12
53,"Amravati",20.92,77.75
54,"Amreli",21.58,71.28
55,"Amritsar",31.58,74.95
56,"Amroha",28.88,78.5
57,"Anakapalle",17.7,83.1
58,"Anand",22.53,72.98
59,"Anantnag",33.75,75.17
60,"Anas",23.43,74
61,"Andhra Pradesh",18,79
